,estimated_stock_pct,quantity,temperature,category,unit_price,hour,day,dayofweek
0,0.89,3.0,-0.42070038910505836,kitchen,11.19,9,1,1
1,0.14,3.0,-0.42070038910505836,vegetables,1.49,9,1,1
2,0.67,0.0,-0.42070038910505836,baby products,14.19,9,1,1
3,0.82,0.0,-0.42070038910505836,beverages,20.19,9,1,1
4,0.05,0.0,-0.42070038910505836,pets,8.19,9,1,1
5,0.1,0.0,-0.42070038910505836,beverages,15.99,9,1,1
6,0.83,0.0,-0.42070038910505836,pets,11.19,9,1,1
7,0.67,0.0,-0.42070038910505836,meat,16.19,9,1,1
8,0.35,3.0,-0.42070038910505836,fruit,3.99,9,1,1
9,0.9199999999999999,0.0,-0.42070038910505836,spices and herbs,4.99,9,1,1
10,0.35,0.0,-0.42070038910505836,frozen,13.19,9,1,1
11,0.17333333333333334,0.0,-0.42070038910505836,medicine,19.99,9,1,1
12,0.335,0.0,-0.42070038910505836,medicine,20.49,9,1,1
13,0.48,1.0,-0.42070038910505836,baking,8.19,9,1,1
14,0.67,6.0,-0.42070038910505836,fruit,1.49,9,1,1
15,0.92,0.0,-0.42070038910505836,personal care,16.99,9,1,1
16,0.345,0.0,-0.42070038910505836,pets,8.49,9,1,1
17,0.76,0.0,-0.42070038910505836,kitchen,18.19,9,1,1
18,0.735,0.0,-0.42070038910505836,cleaning products,16.49,9,1,1
19,0.17,0.0,-0.42070038910505836,beverages,16.19,9,1,1
20,0.88,3.0,-0.42070038910505836,dairy,8.19,9,1,1
21,0.5,3.0,-0.42070038910505836,kitchen,18.49,9,1,1
22,0.71,0.0,-0.42070038910505836,spices and herbs,3.49,9,1,1
23,0.84,0.0,-0.42070038910505836,baking,8.19,9,1,1
24,0.64,0.0,-0.42070038910505836,condiments and sauces,3.19,9,1,1
25,0.65,0.0,-0.42070038910505836,refrigerated items,3.49,9,1,1
26,0.44,0.0,-0.42070038910505836,baking,7.99,9,1,1
27,0.76,0.0,-0.42070038910505836,frozen,4.99,9,1,1
28,0.36333333333333334,2.0,-0.42070038910505836,packaged foods,6.19,9,1,1
29,0.65,2.0,-0.42070038910505836,baked goods,5.49,9,1,1
30,0.28,0.0,-0.42070038910505836,personal care,5.49,9,1,1
31,0.74,0.0,-0.42070038910505836,meat,16.19,9,1,1
32,0.22,0.0,-0.42070038910505836,snacks,1.99,9,1,1
33,0.77,0.0,-0.42070038910505836,cleaning products,17.19,9,1,1
34,0.88,0.0,-0.42070038910505836,condiments and sauces,5.19,9,1,1
35,0.5,2.0,-0.42070038910505836,refrigerated items,6.19,9,1,1
36,0.45,0.0,-0.42070038910505836,cleaning products,8.99,9,1,1
37,0.635,4.0,-0.42070038910505836,baked goods,7.49,9,1,1
38,0.63,1.0,-0.42070038910505836,kitchen,15.49,9,1,1
39,0.335,0.0,-0.42070038910505836,baking,3.99,9,1,1
40,1.0,6.0,-0.42070038910505836,meat,11.99,9,1,1
41,0.09,3.0,-0.42070038910505836,refrigerated items,6.49,9,1,1
42,0.64,3.0,-0.42070038910505836,personal care,3.49,9,1,1
43,0.24,0.0,-0.42070038910505836,packaged foods,7.19,9,1,1
44,0.73,0.0,-0.42070038910505836,snacks,3.99,9,1,1
45,0.47,0.0,-0.42070038910505836,frozen,5.49,9,1,1
46,0.195,0.0,-0.42070038910505836,baked goods,8.49,9,1,1
47,0.8,0.0,-0.42070038910505836,baked goods,6.49,9,1,1
48,0.38,0.0,-0.42070038910505836,dairy,9.49,9,1,1
49,0.12,0.0,-0.42070038910505836,cheese,11.19,9,1,1
50,0.83,0.0,-0.42070038910505836,refrigerated items,10.99,9,1,1
51,0.42,0.0,-0.42070038910505836,beverages,10.49,9,1,1
52,0.71,0.0,-0.42070038910505836,personal care,9.99,9,1,1
53,0.1,0.0,-0.42070038910505836,baked goods,4.19,9,1,1
54,0.17,0.0,-0.42070038910505836,personal care,8.49,9,1,1
55,0.45,0.0,-0.42070038910505836,baked goods,10.19,9,1,1
56,0.04,1.0,-0.42070038910505836,refrigerated items,8.99,9,1,1
57,0.5366666666666667,0.0,-0.42070038910505836,spices and herbs,3.99,9,1,1
58,0.5,0.0,-0.42070038910505836,baking,6.99,9,1,1
59,0.19,3.0,-0.42070038910505836,refrigerated items,8.19,9,1,1
60,0.23,3.0,-0.42070038910505836,vegetables,0.49,9,1,1
61,0.17,0.0,-0.42070038910505836,frozen,7.49,9,1,1
62,0.54,0.0,-0.42070038910505836,frozen,7.19,9,1,1
63,0.5800000000000001,2.0,-0.42070038910505836,beverages,16.19,9,1,1
64,0.44,0.0,-0.42070038910505836,frozen,9.49,9,1,1
65,0.5499999999999999,2.0,-0.42070038910505836,baby products,12.49,9,1,1
66,0.48000000000000004,4.0,-0.42070038910505836,dairy,7.19,9,1,1
67,0.97,0.0,-0.42070038910505836,baked goods,4.99,9,1,1
68,0.5675,4.0,-0.42070038910505836,pets,14.19,9,1,1
69,0.05,0.0,-0.42070038910505836,spices and herbs,5.49,9,1,1
70,0.66,0.0,-0.42070038910505836,personal care,6.99,9,1,1
71,0.595,0.0,-0.42070038910505836,cheese,4.99,9,1,1
72,0.86,0.0,-0.42070038910505836,snacks,1.19,9,1,1
73,0.6066666666666667,2.0,-0.42070038910505836,baby products,7.19,9,1,1
74,0.62,6.0,-0.42070038910505836,fruit,0.19,9,1,1
75,0.76,0.0,-0.42070038910505836,refrigerated items,7.19,9,1,1
76,0.47,0.0,-0.42070038910505836,meat,11.49,9,1,1
77,0.605,1.0,-0.42070038910505836,fruit,4.49,9,1,1
78,0.3233333333333333,0.0,-0.42070038910505836,refrigerated items,5.99,9,1,1
79,0.51,0.0,-0.42070038910505836,condiments and sauces,4.49,9,1,1
80,0.43,0.0,-0.42070038910505836,spices and herbs,0.19,9,1,1
81,0.42,0.0,-0.42070038910505836,medicine,12.99,9,1,1
82,0.37,0.0,-0.42070038910505836,spices and herbs,2.49,9,1,1
83,0.78,2.0,-0.42070038910505836,condiments and sauces,8.19,9,1,1
84,0.37666666666666665,0.0,-0.42070038910505836,personal care,14.49,9,1,1
85,0.22,0.0,-0.42070038910505836,medicine,10.19,9,1,1
86,0.75,0.0,-0.42070038910505836,spices and herbs,2.19,9,1,1
87,0.19,0.0,-0.42070038910505836,baby products,12.99,9,1,1
88,0.92,0.0,-0.42070038910505836,personal care,4.49,9,1,1
89,0.15,0.0,-0.42070038910505836,kitchen,10.19,9,1,1
90,0.41,0.0,-0.42070038910505836,beverages,15.19,9,1,1
91,0.52,0.0,-0.42070038910505836,dairy,6.49,9,1,1
92,0.47,0.0,-0.42070038910505836,beverages,19.99,9,1,1
93,0.99,4.0,-0.42070038910505836,vegetables,1.49,9,1,1
94,0.86,0.0,-0.42070038910505836,cheese,5.49,9,1,1
95,0.56,0.0,-0.42070038910505836,packaged foods,8.49,9,1,1
96,0.52,0.0,-0.42070038910505836,cheese,13.99,9,1,1
97,0.36,3.0,-0.42070038910505836,baking,2.19,9,1,1
98,0.7849999999999999,0.0,-0.42070038910505836,refrigerated items,8.19,9,1,1
99,0.33,0.0,-0.42070038910505836,medicine,22.19,9,1,1
100,0.81,0.0,-0.42070038910505836,medicine,23.99,9,1,1
101,0.8,3.0,-0.42070038910505836,frozen,11.99,9,1,1
102,0.54,0.0,-0.42070038910505836,cheese,9.99,9,1,1
103,0.65,0.0,-0.42070038910505836,baby products,9.99,9,1,1
104,0.68,2.0,-0.42070038910505836,beverages,13.19,9,1,1
105,0.5,0.0,-0.42070038910505836,dairy,7.19,9,1,1
106,0.85,0.0,-0.42070038910505836,baked goods,9.99,9,1,1
107,0.345,0.0,-0.42070038910505836,snacks,2.99,9,1,1
108,0.05,0.0,-0.42070038910505836,cleaning products,14.19,9,1,1
109,0.175,0.0,-0.42070038910505836,packaged foods,3.49,9,1,1
110,0.12,3.0,-0.42070038910505836,vegetables,4.99,9,1,1
111,0.74,0.0,-0.42070038910505836,personal care,7.49,9,1,1
112,0.01,4.0,-0.42070038910505836,fruit,3.99,9,1,1
113,0.63,3.0,-0.42070038910505836,cheese,6.49,9,1,1
114,0.11,6.0,-0.42070038910505836,canned foods,7.49,9,1,1
115,0.32,0.0,-0.42070038910505836,canned foods,8.99,9,1,1
116,0.41500000000000004,1.0,-0.42070038910505836,canned foods,8.19,9,1,1
117,0.69,4.0,-0.42070038910505836,refrigerated items,8.99,9,1,1
118,0.59,0.0,-0.42070038910505836,pets,8.99,9,1,1
119,0.28500000000000003,0.0,-0.42070038910505836,spices and herbs,0.49,9,1,1
120,0.18,2.0,-0.42070038910505836,baby products,15.99,9,1,1
121,0.32,10.0,-0.42070038910505836,vegetables,1.99,9,1,1
122,0.91,4.0,-0.42070038910505836,dairy,8.19,9,1,1
123,0.95,0.0,-0.42070038910505836,canned foods,2.49,9,1,1
124,0.33,0.0,-0.42070038910505836,snacks,1.19,9,1,1
125,0.3866666666666667,0.0,-0.42070038910505836,packaged foods,5.49,9,1,1
126,0.125,0.0,-0.42070038910505836,pets,11.99,9,1,1
127,0.27,0.0,-0.42070038910505836,meat,12.19,9,1,1
128,0.54,0.0,-0.42070038910505836,vegetables,1.19,9,1,1
129,0.385,0.0,-0.42070038910505836,medicine,21.99,9,1,1
130,0.64,0.0,-0.42070038910505836,snacks,0.19,9,1,1
131,0.43,0.0,-0.42070038910505836,spices and herbs,5.19,9,1,1
132,0.01,1.0,-0.42070038910505836,seafood,10.19,9,1,1
133,0.34,6.0,-0.42070038910505836,refrigerated items,6.99,9,1,1
134,0.26,5.0,-0.42070038910505836,vegetables,4.19,9,1,1
135,0.555,2.0,-0.42070038910505836,canned foods,2.99,9,1,1
136,0.76,3.0,-0.42070038910505836,cheese,5.99,9,1,1
137,0.38,3.0,-0.42070038910505836,baked goods,7.99,9,1,1
138,0.65,0.0,-0.42070038910505836,packaged foods,2.19,9,1,1
139,0.62,0.0,-0.42070038910505836,snacks,0.49,9,1,1
140,0.35000000000000003,1.0,-0.42070038910505836,refrigerated items,3.19,9,1,1
141,0.47000000000000003,8.0,-0.42070038910505836,packaged foods,2.99,9,1,1
142,0.5625,4.0,-0.42070038910505836,fruit,4.99,9,1,1
143,0.8,1.0,-0.42070038910505836,meat,19.99,9,1,1
144,0.11,1.0,-0.42070038910505836,packaged foods,6.99,9,1,1
145,0.12,0.0,-0.42070038910505836,beverages,5.19,9,1,1
146,0.53,0.0,-0.42070038910505836,canned foods,8.99,9,1,1
147,0.97,0.0,-0.42070038910505836,condiments and sauces,8.49,9,1,1
148,0.645,6.0,-0.42070038910505836,medicine,15.49,9,1,1
149,0.62,0.0,-0.42070038910505836,spices and herbs,0.19,9,1,1
150,0.38,0.0,-0.4280327868852459,condiments and sauces,7.99,10,1,1
151,0.34,0.0,-0.4280327868852459,beverages,20.19,10,1,1
152,0.28500000000000003,0.0,-0.4280327868852459,pets,8.19,10,1,1
153,0.595,0.0,-0.4280327868852459,meat,12.49,10,1,1
154,0.62,0.0,-0.4280327868852459,seafood,12.49,10,1,1
155,0.65,0.0,-0.4280327868852459,refrigerated items,10.99,10,1,1
156,0.655,0.0,-0.4280327868852459,snacks,1.99,10,1,1
157,0.49666666666666665,0.0,-0.4280327868852459,frozen,13.49,10,1,1
158,0.355,0.0,-0.4280327868852459,pets,11.19,10,1,1
159,0.495,4.0,-0.4280327868852459,fruit,3.99,10,1,1
160,0.71,0.0,-0.4280327868852459,cleaning products,16.99,10,1,1
161,0.49,0.0,-0.4280327868852459,baking,2.99,10,1,1
162,0.71,0.0,-0.4280327868852459,medicine,19.99,10,1,1
163,0.27,0.0,-0.4280327868852459,medicine,20.49,10,1,1
